Follower Athlete ID,Follow Status,Created At
1679582,Accepted,"7 Feb 2021, 13:02:53"
3523956,Accepted,"11 Feb 2021, 05:58:53"
2200464,Accepted,"11 Feb 2021, 07:49:07"
2889803,Accepted,"13 Feb 2021, 10:34:11"
12914867,Accepted,"2 Mar 2021, 04:38:17"
19458668,Accepted,"2 Mar 2021, 12:29:04"
1458683,Accepted,"4 Mar 2021, 17:48:20"
181118,Accepted,"6 Mar 2021, 09:44:14"
29172925,Accepted,"8 Mar 2021, 11:43:05"
18951765,Accepted,"11 Mar 2021, 05:46:30"
56799494,Accepted,"11 Mar 2021, 20:03:09"
81372173,Accepted,"21 Mar 2021, 14:05:09"
18157611,Accepted,"22 Mar 2021, 13:39:32"
2885001,Accepted,"23 Mar 2021, 06:48:27"
37818927,Accepted,"26 Mar 2021, 14:19:27"
12609257,Accepted,"29 Mar 2021, 15:03:12"
35635132,Accepted,"1 Apr 2021, 09:42:57"
12122554,Accepted,"2 Apr 2021, 18:59:02"
13540334,Accepted,"6 Apr 2021, 22:38:43"
28885020,Accepted,"8 Apr 2021, 07:42:48"
18050538,Accepted,"9 Apr 2021, 14:40:10"
2948783,Accepted,"9 Apr 2021, 15:11:24"
12122654,Accepted,"26 Apr 2021, 06:25:20"
34896117,Accepted,"26 Apr 2021, 10:28:16"
2998853,Accepted,"27 Apr 2021, 19:14:57"
263309,Accepted,"1 May 2021, 12:35:37"
13026836,Accepted,"5 May 2021, 17:42:15"
11631906,Accepted,"13 May 2021, 04:15:00"
3161210,Accepted,"17 May 2021, 06:05:30"
43638136,Accepted,"17 May 2021, 19:48:27"
49760712,Accepted,"19 May 2021, 17:19:05"
51665275,Accepted,"22 May 2021, 14:09:15"
11119776,Accepted,"22 May 2021, 14:24:27"
26547261,Accepted,"23 May 2021, 11:38:46"
66777606,Accepted,"26 May 2021, 14:57:11"
17804511,Accepted,"30 May 2021, 11:40:35"
50255725,Accepted,"5 Jun 2021, 21:00:48"
21806462,Accepted,"6 Jun 2021, 17:47:09"
11915393,Accepted,"19 Jun 2021, 19:24:38"
16878236,Accepted,"23 Jun 2021, 11:32:30"
38366402,Accepted,"26 Jun 2021, 17:58:37"
87906807,Accepted,"27 Jun 2021, 13:10:45"
87907968,Accepted,"27 Jun 2021, 13:33:28"
46926312,Accepted,"28 Jun 2021, 07:05:10"
58235782,Accepted,"4 Jul 2021, 09:22:11"
