hours,elevation,latitude,longitude,distance,power,power_zone,hr,hr_zone,cadence,cadence_zone,temperature
0.043333333333333335,256.4,47.984948,7.850583,1.323151599236745,190,Zone 2,108,Zone 1,69,Zone 1,22
0.043611111111111114,256.6,47.984956,7.85066,1.3317689997915234,194,Zone 2,108,Zone 1,69,Zone 1,22
0.04388888888888889,256.6,47.984967,7.85074,1.3407573472314018,194,Zone 2,108,Zone 1,69,Zone 1,22
0.04416666666666667,256.6,47.984971,7.85082,1.349674057151696,193,Zone 2,108,Zone 1,69,Zone 1,22
0.04444444444444444,256.8,47.984978,7.8509,1.3586135312395444,188,Zone 2,108,Zone 1,67,Zone 1,22
0.04472222222222222,257,47.984982,7.85098,1.367530241159839,190,Zone 2,108,Zone 1,69,Zone 1,22
0.045000000000000005,257.2,47.98499,7.85106,1.3764788047000482,199,Zone 2,108,Zone 1,68,Zone 1,22
0.04527777777777778,257.2,47.984997,7.851138,1.385195735297598,175,Zone 2,108,Zone 1,68,Zone 1,22
0.04555555555555556,257.2,47.984997,7.851212,1.393433713730719,173,Zone 2,108,Zone 1,68,Zone 1,22
0.04583333333333333,257.2,47.984997,7.851289,1.402005395522324,192,Zone 2,109,Zone 1,68,Zone 1,22
0.04611111111111111,257.4,47.985001,7.851363,1.410254879134934,209,Zone 3,110,Zone 2,69,Zone 1,22
0.04638888888888889,257.4,47.985005,7.85144,1.418837618787673,214,Zone 3,110,Zone 2,68,Zone 1,22
0.04666666666666666,257.4,47.985009,7.851523,1.428087959409138,180,Zone 2,110,Zone 2,68,Zone 1,22
0.04694444444444445,257.6,47.985012,7.851606,1.437333416264558,190,Zone 2,110,Zone 2,70,Zone 2,22
0.04722222222222223,257.6,47.985016,7.851695,1.4472510474800744,138,Zone 1,111,Zone 2,70,Zone 2,22
0.0475,257.6,47.985016,7.851778,1.4564906404087805,131,Zone 1,110,Zone 2,70,Zone 2,22
0.04777777777777778,257.6,47.98502,7.851858,1.465407350329075,104,Zone 1,110,Zone 2,69,Zone 1,22
0.04805555555555555,257.8,47.98502,7.85194,1.4745358024843007,86,Zone 1,110,Zone 2,68,Zone 1,22
0.04833333333333333,257.8,47.985024,7.852014,1.482785286096911,104,Zone 1,110,Zone 2,66,Zone 1,22
0.04861111111111111,258,47.985027,7.852082,1.4903618402847512,108,Zone 1,110,Zone 2,66,Zone 1,22
0.048888888888888885,258,47.985027,7.852151,1.498043181266345,102,Zone 1,110,Zone 2,66,Zone 1,22
